date	new_cases
03/12/2020	3
04/12/2020	4
05/12/2020	2
06/12/2020	2
07/12/2020	0
08/12/2020	0
09/12/2020	0
10/12/2020	0
11/12/2020	4
12/12/2020	8
13/12/2020	3
14/12/2020	4
15/12/2020	10
16/12/2020	11
17/12/2020	47
18/12/2020	10
19/12/2020	5
20/12/2020	8
21/12/2020	41
22/12/2020	46
23/12/2020	13
24/12/2020	16
25/12/2020	62
26/12/2020	4
27/12/2020	11
28/12/2020	23
29/12/2020	11
30/12/2020	83
31/12/2020	112
01/01/2021	101
02/01/2021	28
03/01/2021	132
04/01/2021	91
05/01/2021	175
06/01/2021	227
07/01/2021	274
08/01/2021	314
09/01/2021	381
10/01/2021	269
11/01/2021	452
12/01/2021	0
13/01/2021	373
14/01/2021	591
15/01/2021	1232
16/01/2021	562
17/01/2021	685
18/01/2021	557
19/01/2021	853
20/01/2021	971
21/01/2021	1198
22/01/2021	1316
23/01/2021	1074
24/01/2021	956
25/01/2021	592
26/01/2021	843
27/01/2021	830
28/01/2021	644
29/01/2021	716
30/01/2021	477
31/01/2021	466
01/02/2021	402
02/02/2021	538
03/02/2021	546
04/02/2021	435
05/02/2021	476
06/02/2021	515
07/02/2021	320
08/02/2021	227
09/02/2021	300
10/02/2021	328
11/02/2021	220
12/02/2021	360
13/02/2021	246
14/02/2021	159
15/02/2021	146
16/02/2021	240
17/02/2021	213
18/02/2021	203
19/02/2021	440
20/02/2021	251
21/02/2021	214
22/02/2021	200
23/02/2021	164
24/02/2021	189
25/02/2021	207
26/02/2021	173
27/02/2021	123
28/02/2021	147
01/03/2021	63
02/03/2021	140
03/03/2021	81
04/03/2021	54
05/03/2021	0
06/03/2021	115
07/03/2021	44
08/03/2021	27
09/03/2021	59
10/03/2021	86
11/03/2021	59
12/03/2021	73
13/03/2021	43
14/03/2021	0
15/03/2021	75
16/03/2021	30
17/03/2021	76
18/03/2021	75
19/03/2021	129
20/03/2021	42
21/03/2021	21
22/03/2021	33
23/03/2021	53
24/03/2021	31
25/03/2021	33
26/03/2021	28
27/03/2021	43
28/03/2021	23
29/03/2021	24
30/03/2021	20
31/03/2021	26
01/04/2021	33
02/04/2021	55
03/04/2021	8
04/04/2021	14
05/04/2021	12
06/04/2021	12
07/04/2021	33
08/04/2021	20
09/04/2021	41
10/04/2021	26
11/04/2021	22
12/04/2021	32
13/04/2021	13
14/04/2021	19
15/04/2021	11
16/04/2021	17
17/04/2021	0
18/04/2021	22
19/04/2021	18
20/04/2021	9
21/04/2021	7
